OrderID,PrevClinName1,PrevClinName2,ClinCityCode,ClinStateCode,TotNumberCycles,TotUsingFrozenEggs,MedicalDirector,IVF_Rate,Unstimulated_Rate,Gest_Rate,ICSI_Rate,PGD_Rate,Diag_TubalRate,Diag_OvulatoryRate,Diag_DORRate,Diag_EndometriosisRate,Diag_UterineRate,Diag_MaleRate,Diag_OtherRate,Diag_UnknownRate,Diag_ComboNoMaleRate,Diag_ComboMaleRate,FshNDCycle1,FshNDCycle2,FshNDCycle3,FshNDCycle4,FshNDCycle5,FshNDCansRate1,FshNDCansRate2,FshNDCansRate3,FshNDCansRate4,FshNDCansRate5,FshNDTransfers1,FshNDTransfers2,FshNDTransfers3,FshNDTransfers4,FshNDTransfers5,FshNDEmbryosRate1,FshNDEmbryosRate2,FshNDEmbryosRate3,FshNDEmbryosRate4,FshNDEmbryosRate5,FshNDeSETRate1,FshNDeSETRate2,FshNDeSETRate3,FshNDeSETRate4,FshNDeSETRate5,FshNDPregRate1,FshNDPregRate2,FshNDPregRate3,FshNDPregRate4,FshNDPregRate5,FshNDLvBirthsRate1,FshNDLvBirthsRate2,FshNDLvBirthsRate3,FshNDLvBirthsRate4,FshNDLvBirthsRate5,FshNDSnglLBRate1,FshNDSnglLBRate2,FshNDSnglLBRate3,FshNDSnglLBRate4,FshNDSnglLBRate5,FshNDTwinLBRate1,FshNDTwinLBRate2,FshNDTwinLBRate3,FshNDTwinLBRate4,FshNDTwinLBRate5,FshNDHealthSnglLBRate1,FshNDHealthSnglLBRate2,FshNDHealthSnglLBRate3,FshNDHealthSnglLBRate4,FshNDHealthSnglLBRate5,FshNDImplant1,FshNDImplant2,FshNDImplant3,FshNDImplant4,FshNDImplant5,FshNDTransPregRate1,FshNDTransPregRate2,FshNDTransPregRate3,FshNDTransPregRate4,FshNDTransPregRate5,FshNDLvBirths_TransRate1,FshNDLvBirths_TransRate2,FshNDLvBirths_TransRate3,FshNDLvBirths_TransRate4,FshNDLvBirths_TransRate5,FshNDSnglLB_TransRate1,FshNDSnglLB_TransRate2,FshNDSnglLB_TransRate3,FshNDSnglLB_TransRate4,FshNDSnglLB_TransRate5,FshNDTwinLB_TransRate1,FshNDTwinLB_TransRate2,FshNDTwinLB_TransRate3,FshNDTwinLB_TransRate4,FshNDTwinLB_TransRate5,FshNDHealthSnglLB_TransRate1,FshNDHealthSnglLB_TransRate2,FshNDHealthSnglLB_TransRate3,FshNDHealthSnglLB_TransRate4,FshNDHealthSnglLB_TransRate5,ThwNDTotCycles1,ThwNDTotCycles2,ThwNDTotCycles3,ThwNDTotCycles4,ThwNDTotCycles5,ThwNDTransfers1,ThwNDTransfers2,ThwNDTransfers3,ThwNDTransfers4,ThwNDTransfers5,ThwNDEstTransPerRetrievRate1,ThwNDEstTransPerRetrievRate2,ThwNDEstTransPerRetrievRate3,ThwNDEstTransPerRetrievRate4,ThwNDEstTransPerRetrievRate5,ThwNDEmbryosRate1,ThwNDEmbryosRate2,ThwNDEmbryosRate3,ThwNDEmbryosRate4,ThwNDEmbryosRate5,ThwNDImplant1,ThwNDImplant2,ThwNDImplant3,ThwNDImplant4,ThwNDImplant5,ThwNDTransPregRate1,ThwNDTransPregRate2,ThwNDTransPregRate3,ThwNDTransPregRate4,ThwNDTransPregRate5,ThwNDLvBirths_TransRate1,ThwNDLvBirths_TransRate2,ThwNDLvBirths_TransRate3,ThwNDLvBirths_TransRate4,ThwNDLvBirths_TransRate5,ThwNDSnglLB_TransRate1,ThwNDSnglLB_TransRate2,ThwNDSnglLB_TransRate3,ThwNDSnglLB_TransRate4,ThwNDSnglLB_TransRate5,ThwNDTwinLB_TransRate1,ThwNDTwinLB_TransRate2,ThwNDTwinLB_TransRate3,ThwNDTwinLB_TransRate4,ThwNDTwinLB_TransRate5,ThwNDHealthSnglLB_TransRate1,ThwNDHealthSnglLB_TransRate2,ThwNDHealthSnglLB_TransRate3,ThwNDHealthSnglLB_TransRate4,ThwNDHealthSnglLB_TransRate5,TotBankingCycles1,TotBankingCycles2,TotBankingCycles3,TotBankingCycles4,TotBankingCycles5,TotBankLTCycles1,TotBankLTCycles2,TotBankLTCycles3,TotBankLTCycles4,TotBankLTCycles5,FshDnrEggTotCycles,ThwDnrEggTotCycles,ThwDnrEmbTotCycles,DonatedEmbCycles,FshDnrEggTransfers,ThwDnrEggTransfers,ThwDnrEmbTransfers,DonatedEmbTransfers,FshDnrEggRate,ThwDnrEggRate,ThwDnrEmbRate,DonatedEmbRate,FshDnrEggImplant,ThwDnrEggImplant,ThwDnrEmbImplant,DonatedEmbImplant,FshDnrEggTransPregRate,ThwDnrEggTransPregRate,ThwDnrEmbTransPregRate,DonatedEmbTransPregRate,FshDnrEggLvBirths_TransRate,ThwDnrEggLvBirths_TransRate,ThwDnrEmbLvBirths_TransRate,DonatedEmbLvBirths_TransRate,FshDnrEggSnglLB_TransRate,ThwDnrEggSnglLB_TransRate,ThwDnrEmbSnglLB_TransRate,DonatedEmbSnglLB_TransRate,FshDnrEggTwinLvBirths_TransRate,ThwDnrEggTwinLvBirths_TransRate,ThwDnrEmbTwinLvBirths_TransRate,DonatedEmbTwinLvBirths_TransRate,FshDnrEggHealthSnglLB_TransRate,ThwDnrEggSngLB_TransRate,ThwDnrEmbSngLB_TransRate,DonatedEmbSngLB_TransRate,ReorgOrClosedMessage,CurrClinNameAll,DonorEgg,DonorEmbryo,EmbryoCryo,EggCryo,SingleWomen,Surrogates,SART_Member,Accreditation,TotExcludedResearchCycles,state_code
134,THE REPRODUCTIVE MEDICINE GROUP,,TAMPA,FLORIDA,950,0,"Timothy R. Yeko, MD",1,0%,2%,70%,54%,20%,0.14,0.14,0.09,0.03,0.38,16%,14%,10%,14%,50,17,9,9,3,10,17-Apr,9-May,9-Mar,3-Mar,33,9,0,1,0,1.2,1.7,,3,,80,9-Mar,,0 / 1,,40,17-Apr,0 / 9,0 / 9,0 / 3,36,17-Apr,0 / 9,0 / 9,0 / 3,36,17-Mar,0 / 9,0 / 9,0 / 3,0,17-Jan,0 / 9,0 / 9,0 / 3,26,17-Feb,0 / 9,0 / 9,0 / 3,51.4,15-May,,0 / 3,,60.6,9-Apr,,0 / 1,,54.5,9-Apr,,0 / 1,,54.5,9-Mar,,0 / 1,,0,9-Jan,,0 / 1,,39.4,9-Feb,,0 / 1,,191,100,71,19,4,182,97,65,17,3,1,1,0.9,0.4,0.1,1.2,1.2,1.1,1.2,1,62.3,63.6,58.9,19-Sep,3-Feb,64.8,67,61.5,17-Sep,3-Feb,56.6,60.8,52.3,17-Jun,3-Feb,48.9,55.7,50.8,17-Jun,3-Feb,7.7,5.2,1.5,0 / 17,0 / 3,44,46.4,43.1,17-May,3-Feb,162,89,74,42,23,3,4,1,0,0,19,0,68,0,13,0,64,0,1.2,,1.2,,15-Dec,,44.3,,13-Nov,,50,,13-Sep,,43.8,,13-Aug,,40.6,,13-Jan,,3.1,,13-Jun,,34.4,,,The Reproductive Medicine Group,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
135,UNIVERSITY OF SOUTH FLORIDA IVF,,TAMPA,FLORIDA,423,1,"Shayne M. Plosker, MD",1,<1%,7%,61%,7%,15%,0.07,0.31,0.06,0.06,0.46,8%,15%,7%,22%,95,48,34,27,6,6.3,6.3,5.9,7.4,6-Jan,77,38,29,17,5,1.7,2.1,2.6,3.1,3.6,28.8,15.8,0,0 / 15,0 / 5,37.9,35.4,29.4,7.4,0 / 6,36.8,31.3,20.6,3.7,0 / 6,28.4,25,14.7,3.7,0 / 6,8.4,4.2,5.9,0,0 / 6,23.2,25,14.7,0,0 / 6,36.4,27.5,17.1,3.8,0 / 18,46.8,44.7,34.5,17-Feb,0 / 5,45.5,39.5,24.1,17-Jan,0 / 5,35.1,31.6,17.2,17-Jan,0 / 5,10.4,5.3,6.9,0 / 17,0 / 5,28.6,31.6,17.2,0 / 17,0 / 5,52,30,18,11,7,48,27,15,8,7,0.9,1,1.7,0.9,3.5,1.6,1.5,1.5,1.6,1.9,52.6,53.7,27.3,13-Feb,13-Feb,58.3,70.4,15-Apr,8-Feb,7-Jan,56.3,55.6,15-Mar,8-Feb,0 / 7,33.3,48.1,15-Feb,8-Feb,0 / 7,22.9,7.4,15-Jan,0 / 8,0 / 7,29.2,44.4,15-Feb,0 / 8,0 / 7,34,14,8,7,2,19,6,2,2,1,6,3,20,0,5,3,16,0,1.8,2,1.6,,9-Jun,0 / 6,40,,5-Apr,0 / 3,16-Jul,,5-Apr,0 / 3,16-May,,5-Mar,0 / 3,16-Apr,,5-Jan,0 / 3,16-Jan,,5-Mar,0 / 3,16-Apr,,,University of South Florida IVF,Yes,No,Yes,Yes,Yes,Yes,Yes,No,0,FL
136,F.I.R.S.T.,FLORIDA INSTITUTE FOR REPRODUCTIVE SCIENCES AND TECHNOLOGIES,WESTON,FLORIDA,47,0,"Minna R. Selub, MD",1,0%,7%,86%,5%,7%,0.21,0.5,0.05,0.25,0.43,16%,2%,18%,39%,10,5,3,1,0,0 / 10,0 / 5,0 / 3,0 / 1,,9,3,3,1,0,1.7,2,1.3,2,,7-Jan,0 / 3,2-Jan,0 / 1,,10-Jan,5-Jan,0 / 3,0 / 1,,10-Jan,5-Jan,0 / 3,0 / 1,,0 / 10,0 / 5,0 / 3,0 / 1,,10-Jan,5-Jan,0 / 3,0 / 1,,0 / 10,0 / 5,0 / 3,0 / 1,,15-Feb,6-Feb,0 / 4,0 / 2,,9-Jan,3-Jan,0 / 3,0 / 1,,9-Jan,3-Jan,0 / 3,0 / 1,,0 / 9,0 / 3,0 / 3,0 / 1,,9-Jan,3-Jan,0 / 3,0 / 1,,0 / 9,0 / 3,0 / 3,0 / 1,,2,1,4,0,0,2,1,3,0,0,1,1,0.8,0,,1.5,1,2,,,3-Jan,1-Jan,6-Feb,,,2-Jan,1-Jan,3-Jan,,,2-Jan,1-Jan,3-Jan,,,2-Jan,1-Jan,0 / 3,,,0 / 2,0 / 1,3-Jan,,,2-Jan,1-Jan,0 / 3,,,0,1,1,1,0,0,1,1,1,0,11,0,7,0,11,0,7,0,1.8,,1.9,,20,,13-Feb,,11-Apr,,7-Feb,,11-Apr,,7-Jan,,11-Apr,,7-Jan,,0 / 11,,0 / 7,,11-Jan,,7-Jan,,,"F.I.R.S.T., Florida Institute for Reproductive Sciences and Technologies",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
137,"ADVANCED REPRODUCTIVE SPECIALISTS, LLC",,WINTER PARK,FLORIDA,42,0,"Michael D. Fox, MD",1,0%,0%,28%,0%,25%,0,0.5,0.22,0,0.19,0%,3%,11%,6%,8,6,4,2,0,8-Jan,6-Feb,0 / 4,0 / 2,,4,1,1,1,0,1.3,2,1,2,,0 / 1,0 / 1,,0 / 1,,8-Feb,0 / 6,0 / 4,0 / 2,,8-Feb,0 / 6,0 / 4,0 / 2,,8-Feb,0 / 6,0 / 4,0 / 2,,0 / 8,0 / 6,0 / 4,0 / 2,,8-Feb,0 / 6,0 / 4,0 / 2,,5-Feb,0 / 2,0 / 1,0 / 2,,4-Feb,0 / 1,0 / 1,0 / 1,,4-Feb,0 / 1,0 / 1,0 / 1,,4-Feb,0 / 1,0 / 1,0 / 1,,0 / 4,0 / 1,0 / 1,0 / 1,,4-Feb,0 / 1,0 / 1,0 / 1,,1,2,4,0,0,1,2,3,0,0,0.5,0.4,1,,0,2,1.5,1.7,,,0 / 2,3-Feb,0 / 5,,,0 / 1,2-Feb,0 / 3,,,0 / 1,2-Jan,0 / 3,,,0 / 1,2-Jan,0 / 3,,,0 / 1,0 / 2,0 / 3,,,0 / 1,2-Jan,0 / 3,,,1,2,1,0,2,1,2,0,0,0,0,0,9,0,0,0,8,0,,,1,,,,8-Jan,,,,8-Jan,,,,0 / 8,,,,0 / 8,,,,0 / 8,,,,0 / 8,,,"Advanced Reproductive Specialists, LLC",Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
138,FERTILITY CARE,THE IVF CENTER,WINTER PARK,FLORIDA,270,0,"Mark P. Trolice, MD",1,0%,7%,74%,10%,12%,0.28,0.25,0.09,0.03,0.32,14%,12%,12%,18%,36,21,15,4,1,5.6,4.8,15-Jan,0 / 4,0 / 1,6,1,1,1,1,1,1,1,2,1,5-May,1-Jan,,0 / 1,,8.3,0,0 / 15,4-Jan,0 / 1,8.3,0,0 / 15,0 / 4,0 / 1,8.3,0,0 / 15,0 / 4,0 / 1,0,0,0 / 15,0 / 4,0 / 1,8.3,0,0 / 15,0 / 4,0 / 1,6-Mar,0 / 1,0 / 1,2-Feb,0 / 1,6-Mar,0 / 1,0 / 1,1-Jan,0 / 1,6-Mar,0 / 1,0 / 1,0 / 1,0 / 1,6-Mar,0 / 1,0 / 1,0 / 1,0 / 1,0 / 6,0 / 1,0 / 1,0 / 1,0 / 1,6-Mar,0 / 1,0 / 1,0 / 1,0 / 1,62,35,35,4,2,57,35,31,4,2,1.4,1.5,1.8,1,2,1.2,1.2,1.6,2,2,55.6,39.5,18,8-Mar,0 / 4,59.6,48.6,19.4,4-Mar,0 / 2,49.1,42.9,16.1,4-Feb,0 / 2,43.9,42.9,6.5,4-Feb,0 / 2,5.3,0,9.7,0 / 4,0 / 2,43.9,40,6.5,4-Feb,0 / 2,13,4,6,2,1,2,0,0,0,0,3,1,24,1,1,1,23,1,1,1,1.1,1,1-Jan,1-Jan,54.2,0 / 1,1-Jan,1-Jan,56.5,0 / 1,1-Jan,1-Jan,47.8,0 / 1,1-Jan,1-Jan,47.8,0 / 1,0 / 1,0 / 1,0,0 / 1,1-Jan,1-Jan,47.8,0 / 1,,"Fertility CARE, The IVF Center",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,FL
139,ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,,ATLANTA,GEORGIA,1270,1,"James P. Toner, MD, PhD",1,0%,<1%,66%,21%,11%,0.16,0.29,0.04,0.03,0.17,22%,14%,8%,6%,193,82,73,35,27,5.7,17.1,27.4,22.9,25.9,129,33,21,5,4,1.1,1.5,1.9,2,3,84.7,42.3,0 / 15,0 / 3,0 / 3,32.6,19.5,13.7,2.9,0,26.9,15.9,8.2,2.9,0,25.9,14.6,6.8,2.9,0,1,1.2,1.4,0,0,22.8,13.4,6.8,2.9,0,46.2,35.6,28.9,10-Jan,0 / 12,48.8,48.5,47.6,5-Jan,0 / 4,40.3,39.4,28.6,5-Jan,0 / 4,38.8,36.4,23.8,5-Jan,0 / 4,1.6,3,4.8,0 / 5,0 / 4,34.1,33.3,23.8,5-Jan,0 / 4,204,107,68,18,8,196,97,62,18,5,1.4,1.1,0.7,0.5,1,1.2,1.1,1.2,1.2,1.4,52.9,58.8,54.4,19-Nov,7-Feb,56.6,62.9,54.8,18-Nov,5-Feb,44.9,51.5,38.7,18-Jul,5-Feb,39.8,49.5,33.9,18-Jun,5-Feb,4.1,2.1,4.8,18-Jan,0 / 5,36.7,44.3,30.6,18-May,5-Jan,76,79,81,35,4,12,15,9,4,0,6,47,125,1,5,43,108,1,1.4,1,1.1,2,7-Feb,53.3,49.1,2-Jan,5-Feb,55.8,51.9,1-Jan,5-Feb,48.8,40.7,1-Jan,5-Feb,48.8,39.8,1-Jan,0 / 5,0,0.9,0 / 1,5-Feb,34.9,33.3,1-Jan,,Atlanta Center for Reproductive Medicine,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,GA
140,EMORY REPRODUCTIVE CENTER,,ATLANTA,GEORGIA,488,2,"Jennifer F. Kawwass, MD",1,0%,2%,66%,7%,24%,0.17,0.39,0.12,0.1,0.33,15%,8%,24%,21%,118,67,53,23,22,6.8,7.5,9.4,13,22.7,97,54,45,16,13,1.5,1.8,2.6,2.8,2.1,51.7,16.3,7.3,0 / 13,9-Feb,55.9,50.7,32.1,39.1,18.2,51.7,44.8,24.5,26.1,18.2,44.1,32.8,17,26.1,18.2,7.6,11.9,7.5,0,0,36.4,26.9,13.2,21.7,18.2,56.5,44.2,21.7,26.7,14.8,68,63,37.8,16-Sep,13-Apr,62.9,55.6,28.9,16-Jun,13-Apr,53.6,40.7,20,16-Jun,13-Apr,9.3,14.8,8.9,0 / 16,0 / 13,44.3,33.3,15.6,16-May,13-Apr,43,25,23,11,3,41,20,22,9,2,0.8,0.7,0.8,0.9,0.4,1.4,1.6,2,2.3,2,42.6,48.4,22.5,17-Apr,4-Jan,53.7,60,36.4,9-May,2-Jan,39,55,31.8,9-Mar,0 / 2,31.7,45,22.7,9-Mar,0 / 2,7.3,10,9.1,0 / 9,0 / 2,31.7,35,9.1,9-Feb,0 / 2,29,17,18,4,2,23,16,6,2,1,12,5,11,0,11,5,10,0,1.1,1.4,1.3,,11-Jul,7-Mar,11-Aug,,11-Jul,5-Mar,10-Sep,,11-Jun,5-Feb,10-Jul,,11-May,5-Feb,10-Jul,,11-Jan,0 / 5,0 / 10,,11-Apr,5-Jan,10-Apr,,,Emory Reproductive Center,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,GA
141,"GEORGIA REPRODUCTIVE SPECIALISTS, LLC",,ATLANTA,GEORGIA,581,2,"Mark Perloe, MD",1,0%,4%,52%,43%,26%,0.26,0.38,0.08,0.05,0.28,17%,6%,23%,20%,44,28,11,7,4,6.8,21.4,11-Jan,7-Feb,4-Jan,31,11,7,4,2,1.2,1.5,2,2.3,2.5,74.1,7-Feb,0 / 6,0 / 3,0 / 2,45.5,7.1,11-Mar,7-Jan,0 / 4,34.1,7.1,11-Jan,7-Jan,0 / 4,34.1,3.6,11-Jan,7-Jan,0 / 4,0,3.6,0 / 11,0 / 7,0 / 4,29.5,0,11-Jan,7-Jan,0 / 4,56.8,16-Apr,14-Mar,9-Jan,0 / 5,64.5,11-Feb,7-Mar,4-Jan,0 / 2,48.4,11-Feb,7-Jan,4-Jan,0 / 2,48.4,11-Jan,7-Jan,4-Jan,0 / 2,0,11-Jan,0 / 7,0 / 4,0 / 2,41.9,0 / 11,7-Jan,4-Jan,0 / 2,104,67,67,13,10,99,62,62,10,9,1.4,1.3,1.6,0.6,0.6,1.1,1.3,1.2,1.2,1.3,56.3,44.2,50.7,7-Mar,12-Apr,60.6,48.4,58.1,10-Jun,9-Apr,44.4,40.3,45.2,10-Mar,9-Mar,41.4,32.3,43.5,10-Mar,9-Mar,3,8.1,1.6,0 / 10,0 / 9,35.4,29,35.5,10-Feb,9-Feb,57,38,37,17,15,3,2,3,5,0,4,19,27,10,3,14,26,10,1.3,1.1,1.2,1.5,4-Mar,14-Sep,48.1,15-May,3-Mar,14-Oct,50,10-Apr,3-Mar,14-Jul,38.5,10-Apr,3-Mar,14-Jul,30.8,10-Apr,0 / 3,0 / 14,7.7,0 / 10,3-Mar,14-May,30.8,10-Mar,This clinic has reorganized since 2016. Contact the NASS Help Desk for further information.,Shady Grove Fertility-Atlanta,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,GA
142,REPRODUCTIVE BIOLOGY ASSOCIATES,,ATLANTA,GEORGIA,2094,20,"Daniel B. Shapiro, MD",1,0%,4%,70%,22%,9%,0.1,0.51,0.05,0.04,0.3,30%,7%,20%,20%,92,49,37,10,15,9.8,32.7,18.9,10-Jan,15-Jun,77,27,22,7,4,1.2,1.6,2,2.1,3,76.7,37.5,19-Feb,6-Jan,0 / 4,39.1,18.4,21.6,10-Feb,15-Jan,32.6,14.3,18.9,10-Feb,15-Jan,31.5,14.3,16.2,10-Jan,15-Jan,1.1,0,2.7,10-Jan,0 / 15,28.3,8.2,16.2,10-Jan,15-Jan,38.2,20,23.3,15-Mar,12-Jan,46.8,33.3,36.4,7-Feb,4-Jan,39,25.9,31.8,7-Feb,4-Jan,37.7,25.9,27.3,7-Jan,4-Jan,1.3,0,4.5,7-Jan,0 / 4,33.8,14.8,27.3,7-Jan,4-Jan,329,184,146,58,34,323,179,142,55,33,0.8,1.1,1,1.2,1.7,1.3,1.3,1.6,1.9,1.5,55.1,53.2,40.1,25.5,22.9,64.4,63.7,62,45.5,39.4,50.5,50.8,45.8,32.7,24.2,42.7,44.7,41.5,29.1,24.2,7.7,5.6,4.2,3.6,0,36.5,36.3,35.9,21.8,24.2,387,149,126,40,17,37,48,22,7,5,0,175,177,49,0,172,170,49,,1.1,1.2,1.3,,56.3,45.8,47.5,,59.3,54.1,51,,48.3,45.9,44.9,,44.8,43.5,34.7,,3.5,2.4,10.2,,37.2,38.2,30.6,,Reproductive Biology Associates,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,GA
143,REPRODUCTIVE MEDICINE AND INFERTILITY ASSOCIATES,,AUGUSTA,GEORGIA,119,0,"Larisa Gavrilova-Jordan, MD",1,0%,0%,80%,4%,34%,0.14,0.25,0.2,0.06,0.37,7%,2%,25%,16%,44,13,9,6,3,6.8,13-Jan,9-Jan,0 / 6,3-Jan,36,12,7,4,2,1.6,1.8,2.4,2.3,3,42.4,11-Feb,7-Jan,0 / 3,0 / 2,59.1,13-Aug,9-Feb,6-Mar,0 / 3,50,13-Jun,9-Feb,6-Mar,0 / 3,40.9,13-Mar,0 / 9,6-Mar,0 / 3,6.8,13-Mar,9-Feb,0 / 6,0 / 3,36.4,13-Feb,0 / 9,6-Feb,0 / 3,57.4,19-Oct,17-Apr,9-Mar,0 / 6,72.2,12-Aug,7-Feb,4-Mar,0 / 2,61.1,12-Jun,7-Feb,4-Mar,0 / 2,50,12-Mar,0 / 7,4-Mar,0 / 2,8.3,12-Mar,7-Feb,0 / 4,0 / 2,44.4,12-Feb,0 / 7,4-Feb,0 / 2,21,5,4,3,1,21,5,4,3,1,1.9,2.5,0.7,1.5,,1.9,1.4,1.8,2,1,62.9,7-Feb,7-Feb,0 / 6,0 / 1,76.2,5-Feb,4-Feb,0 / 3,0 / 1,52.4,5-Feb,4-Jan,0 / 3,0 / 1,19,5-Feb,4-Jan,0 / 3,0 / 1,33.3,0 / 5,0 / 4,0 / 3,0 / 1,9.5,5-Feb,4-Jan,0 / 3,0 / 1,3,1,2,0,0,1,0,0,0,0,0,3,0,1,0,2,0,1,,1.5,,1,,3-Jan,,1-Jan,,2-Jan,,1-Jan,,2-Jan,,1-Jan,,2-Jan,,1-Jan,,0 / 2,,0 / 1,,2-Jan,,1-Jan,,Reproductive Medicine and Infertility Associates,No,No,Yes,Yes,Yes,Yes,Yes,Yes,0,GA
144,SERVY MASSEY FERTILITY INSTITUTE,SERVY INSTITUTE FOR REPRODUCTIVE ENDOCRINOLOGY,AUGUSTA,GEORGIA,388,0,"Edouard J. Servy, MD",1,<1%,<1%,50%,6%,14%,0.13,0.36,0.06,0.04,0.35,17%,5%,11%,15%,93,68,56,22,39,7.5,10.3,14.3,13.6,10.3,68,50,40,14,30,1.8,2,2,2,1.9,5,4.5,3,0 / 12,19-Jan,38.7,22.1,33.9,27.3,15.4,34.4,16.2,17.9,22.7,12.8,30.1,10.3,12.5,18.2,10.3,4.3,4.4,5.4,4.5,2.6,22.6,7.4,8.9,18.2,10.3,33.1,20.2,26.7,26.9,12.5,52.9,30,47.5,14-Jun,20,47.1,22,25,14-May,16.7,41.2,14,17.5,14-Apr,13.3,5.9,6,7.5,14-Jan,3.3,30.9,10,12.5,14-Apr,13.3,27,26,7,5,2,27,25,7,5,2,1.2,2.1,1,1,2,1.7,1.7,1.9,1.6,2,45.2,40.5,12-May,8-Feb,0 / 4,55.6,48,7-May,5-Feb,0 / 2,29.6,36,7-Mar,5-Feb,0 / 2,18.5,24,7-Mar,5-Feb,0 / 2,11.1,8,0 / 7,0 / 5,0 / 2,14.8,16,7-Mar,5-Feb,0 / 2,8,4,4,1,0,3,2,1,1,0,7,4,15,0,7,4,15,0,1.6,1.8,1.8,,9-Mar,7-Mar,48.1,,7-Mar,4-Feb,15-Oct,,7-Feb,4-Feb,15-Aug,,7-Jan,4-Jan,15-May,,7-Jan,4-Jan,15-Mar,,7-Jan,4-Jan,15-Apr,,,"Servy Massey Fertility Institute, Servy Institute for Reproductive Endocrinology",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,GA
145,"COLUMBUS CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY, LLC",,COLUMBUS,GEORGIA,138,1,"Prakash J. Thiruppathi, MD",1,0%,0%,87%,2%,42%,0.89,0.11,0.24,0.19,0.67,6%,0%,27%,67%,61,8,11,4,1,13.1,8-Feb,11-Jan,4-Feb,0 / 1,43,5,8,1,1,1.9,1.4,1.8,2,3,10.3,3-Jan,0 / 6,0 / 1,0 / 1,37.7,0 / 8,11-Apr,4-Jan,0 / 1,29.5,0 / 8,11-Mar,0 / 4,0 / 1,21.3,0 / 8,11-Mar,0 / 4,0 / 1,8.2,0 / 8,0 / 11,0 / 4,0 / 1,16.4,0 / 8,11-Mar,0 / 4,0 / 1,38.8,0 / 7,12-Mar,2-Jan,0 / 3,53.5,0 / 5,8-Apr,1-Jan,0 / 1,41.9,0 / 5,8-Mar,0 / 1,0 / 1,30.2,0 / 5,8-Mar,0 / 1,0 / 1,11.6,0 / 5,0 / 8,0 / 1,0 / 1,23.3,0 / 5,8-Mar,0 / 1,0 / 1,26,7,5,1,0,26,7,4,1,0,1.5,3.5,1,1,,1.9,1.7,1.8,3,,31.3,10-Apr,5-Mar,3-Feb,,46.2,7-Apr,4-Mar,1-Jan,,38.5,7-Mar,4-Feb,1-Jan,,26.9,7-Feb,4-Jan,1-Jan,,11.5,7-Jan,4-Jan,0 / 1,,19.2,7-Jan,4-Jan,1-Jan,,3,0,3,0,0,1,0,0,0,0,4,0,1,2,3,0,1,2,2,,2,3,6-Jun,,0 / 2,4-Feb,3-Mar,,0 / 1,2-Feb,3-Mar,,0 / 1,2-Jan,0 / 3,,0 / 1,0 / 2,3-Mar,,0 / 1,2-Jan,0 / 3,,0 / 1,0 / 2,,"Columbus Center for Reproductive Endocrinology and Infertility, LLC",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,0,GA
146,THE GEORGIA CENTER FOR REPRODUCTIVE MEDICINE,,SAVANNAH,GEORGIA,203,0,"Patrick L. Blohm, MD",1,0%,<1%,66%,1%,14%,0.11,0.37,0.13,<1%,0.5,12%,9%,11%,30%,74,31,17,8,1,5.4,12.9,17-Apr,8-Feb,0 / 1,70,27,13,6,1,1.9,1.9,2,2,2,3,0,0 / 13,0 / 6,0 / 1,66.2,58.1,17-Mar,8-Mar,0 / 1,58.1,48.4,17-Jan,8-Mar,0 / 1,33.8,35.5,0 / 17,8-Mar,0 / 1,23,12.9,17-Jan,0 / 8,0 / 1,28.4,35.5,0 / 17,8-Feb,0 / 1,55.6,46,12.5,12-Mar,0 / 2,70,66.7,13-Mar,6-Mar,0 / 1,61.4,55.6,13-Jan,6-Mar,0 / 1,35.7,40.7,0 / 13,6-Mar,0 / 1,24.3,14.8,13-Jan,0 / 6,0 / 1,30,40.7,0 / 13,6-Feb,0 / 1,22,15,6,4,5,22,15,5,4,5,1.5,3.8,2.5,4,,1.8,1.5,1.4,1.3,1.8,17.9,23.8,0 / 7,4-Jan,0 / 9,31.8,15-May,0 / 5,4-Feb,0 / 5,27.3,15-Mar,0 / 5,4-Jan,0 / 5,27.3,15-Feb,0 / 5,4-Jan,0 / 5,0,15-Jan,0 / 5,0 / 4,0 / 5,27.3,15-Feb,0 / 5,4-Jan,0 / 5,3,0,0,0,0,0,0,0,0,0,15,1,1,0,15,1,1,0,1.9,2,2,,72.4,0 / 2,0 / 2,,14 / 15,0 / 1,0 / 1,,14 / 15,0 / 1,0 / 1,,15-Jul,0 / 1,0 / 1,,15-Jul,0 / 1,0 / 1,,15-Apr,0 / 1,0 / 1,,,The Georgia Center for Reproductive Medicine,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,GA
